,콘존ID,방향,grs80x,grs80y,노선번호,노선명,위도,경도
3380,0301CZS050,S,233036.827122,521852.90602399997,370,제2중부선,37.29532113667648,127.37259688228579
3381,0301CZS050,S,232211.326748,522416.58134,370,제2중부선,37.30042889966789,127.3633113004683
3382,0301CZS050,S,231649.547218,523240.765101,370,제2중부선,37.30787422876015,127.35701021085569
3383,0301CZS050,S,230783.49815700002,524064.517219,370,제2중부선,37.315325453151544,127.34727539090697
3384,0301CZS050,S,230122.056688,524797.8203560001,370,제2중부선,37.32195430842039,127.33984339294214
3385,0301CZS050,S,229318.715648,526053.844289,370,제2중부선,37.33329698571512,127.33082968470211
3386,0301CZS060,S,228827.015946,527023.095009,370,제2중부선,37.342045476925456,127.32531913642323
3387,0301CZS060,S,228660.939477,527599.920186,370,제2중부선,37.34724789978369,127.32346724775769
3388,0301CZS060,S,228330.60361599998,528649.4694770001,370,제2중부선,37.356714627909696,127.31977924165903
3389,0301CZS060,S,228156.58647600003,529733.290224,370,제2중부선,37.36648529134753,127.31785625053696
3390,0301CZS060,S,228146.543738,529832.828277,370,제2중부선,37.367382446323724,127.31774666293366
3391,0301CZS070,S,227930.22564499997,532023.101797,370,제2중부선,37.38712359109086,127.31538730337421
3392,0301CZS070,S,227774.165902,532599.2910109999,370,제2중부선,37.39231979695829,127.31364673299477
3393,0301CZS080,S,227667.114783,532879.6812560001,370,제2중부선,37.39484933844799,127.31244833387323
3394,0301CZS080,S,226961.075318,534749.744381,370,제2중부선,37.41171955880022,127.30454322695853
3395,0301CZS090,S,226295.571128,536626.493971,370,제2중부선,37.42864831311248,127.29709280429678
3396,0301CZS100,S,225821.08015599998,537604.460879,370,제2중부선,37.4374731919999,127.29176617154707
3397,0301CZS100,S,224962.41934499997,538286.056683,370,제2중부선,37.44363795037532,127.28208686583667
3398,0301CZS100,S,224160.27646,538883.927069,370,제2중부선,37.44904607306021,127.27304195260974
3399,0301CZS110,S,222961.47276399998,539356.5771989999,370,제2중부선,37.45333519348827,127.25950878323603
3400,0301CZS110,S,222529.46374,540521.728563,370,제2중부선,37.4638438686543,127.25466189226594
3401,0301CZS110,S,222103.76874600002,541522.228833,370,제2중부선,37.472868671376915,127.24988009286518
3402,0301CZS110,S,235757.13863600002,518812.44626099995,370,제2중부선,37.26782551615077,127.4031303655699
3403,0301CZS110,S,235180.833272,519366.226921,370,제2중부선,37.27283713376946,127.39665934625422
3404,0301CZS110,S,234516.37924299997,520114.090341,370,제2중부선,37.279600392943124,127.38920256293041
3405,0301CZS110,S,233846.674848,520985.92370600003,370,제2중부선,37.28748036540697,127.38169088162526
3406,0301CZS110,S,233036.827122,521852.90602399997,370,제2중부선,37.29532113667648,127.37259688228579
3407,0301CZS110,S,232211.326748,522416.58134,370,제2중부선,37.30042889966789,127.3633113004683
3408,0301CZS120,S,231649.547218,523240.765101,370,제2중부선,37.30787422876015,127.35701021085569
3409,0301CZS120,S,230783.49815700002,524064.517219,370,제2중부선,37.315325453151544,127.34727539090697
3410,0301CZS120,S,230122.056688,524797.8203560001,370,제2중부선,37.32195430842039,127.33984339294214
3411,0301CZS120,S,229318.715648,526053.844289,370,제2중부선,37.33329698571512,127.33082968470211
3412,0320CZE010,E,228827.015946,527023.095009,370,제2중부선,37.342045476925456,127.32531913642323
3413,0320CZE010,E,228660.939477,527599.920186,370,제2중부선,37.34724789978369,127.32346724775769
3414,0320CZE010,E,228330.60361599998,528649.4694770001,370,제2중부선,37.356714627909696,127.31977924165903
3415,0320CZE010,E,228156.58647600003,529733.290224,370,제2중부선,37.36648529134753,127.31785625053696
3416,0320CZE010,E,228146.543738,529832.828277,370,제2중부선,37.367382446323724,127.31774666293366
3417,0320CZE020,E,227930.22564499997,532023.101797,370,제2중부선,37.38712359109086,127.31538730337421
3418,0320CZE020,E,227774.165902,532599.2910109999,370,제2중부선,37.39231979695829,127.31364673299477
3419,0320CZE020,E,227667.114783,532879.6812560001,370,제2중부선,37.39484933844799,127.31244833387323
3420,0320CZE020,E,226961.075318,534749.744381,370,제2중부선,37.41171955880022,127.30454322695853
3421,0320CZS010,S,226295.571128,536626.493971,370,제2중부선,37.42864831311248,127.29709280429678
3422,0320CZS010,S,225821.08015599998,537604.460879,370,제2중부선,37.4374731919999,127.29176617154707
3423,0320CZS010,S,224962.41934499997,538286.056683,370,제2중부선,37.44363795037532,127.28208686583667
3424,0320CZS010,S,224160.27646,538883.927069,370,제2중부선,37.44904607306021,127.27304195260974
3425,0320CZS010,S,222961.47276399998,539356.5771989999,370,제2중부선,37.45333519348827,127.25950878323603
3426,0320CZS020,S,222529.46374,540521.728563,370,제2중부선,37.4638438686543,127.25466189226594
3427,0320CZS020,S,222103.76874600002,541522.228833,370,제2중부선,37.472868671376915,127.24988009286518
3428,0320CZS020,S,190279.54632999998,494983.38215,400,평택제천선,37.05374788557323,126.89071879152567
3429,0320CZS020,S,190470.78886099998,494924.955412,400,평택제천선,37.053223379200205,126.89286955275912
3430,0351CZE010,E,191427.014521,494632.886622,400,평택제천선,37.050600846032935,126.90362306157495
3431,0351CZE010,E,192402.320669,494428.163454,400,평택제천선,37.04876453933656,126.9145894443745
3432,0351CZE020,E,193402.092083,494424.030908,400,평택제천선,37.048734860710546,126.92582856535613
3433,0351CZE020,E,194300.226676,494389.05821099994,400,평택제천선,37.048425613099,126.93592534738823
3434,0351CZE020,E,196418.258697,493525.048689,400,평택제천선,37.040650705677265,126.95973955087892
3435,0351CZE020,E,197421.76278599998,492557.817015,400,평택제천선,37.031938497132785,126.97102271698846
3436,0351CZE020,E,198046.22548800003,492061.769903,400,평택제천선,37.027470233025824,126.97804245450028
3437,0351CZE020,E,198876.075344,491722.594208,400,평택제천선,37.02441535320836,126.98736924935248
3438,0351CZE020,E,199868.761931,491651.614703,400,평택제천선,37.02377643499981,126.99852514896072
3439,0351CZE030,E,201356.473514,491841.23729799996,400,평택제천선,37.02548411373114,127.01524436591573
3440,0351CZE030,E,202150.404397,491937.81738,400,평택제천선,37.02635289436408,127.0241670215553
3441,0351CZE040,E,204232.495687,491751.045605,400,평택제천선,37.02466286233934,127.0475652608953
3442,0351CZE040,E,205927.861072,491835.95105,400,평택제천선,37.02541876046445,127.06661862511883
3443,0351CZE040,E,206754.838436,492178.220295,400,평택제천선,37.02849729038027,127.07591544331868
3444,0351CZE040,E,207520.545541,492818.967778,400,평택제천선,37.034265098921885,127.08452736776013
3445,0351CZE040,E,208352.000914,493132.900829,400,평택제천선,37.03708684847264,127.09387600333899
3446,0351CZE040,E,209329.161047,492962.759624,400,평택제천선,37.035544550171835,127.10485710236712
3447,0351CZE040,E,210191.09376199997,492704.62967299996,400,평택제천선,37.0332096481799,127.1145414693736
3448,0351CZE040,E,211083.819512,492682.223704,400,평택제천선,37.03299764395002,127.12457479353725
3449,0351CZE050,E,212051.424555,492933.427928,400,평택제천선,37.03524926598833,127.13545402724043
3450,0351CZE050,E,213326.221376,493139.627887,400,평택제천선,37.03709005827188,127.14978592892206
3451,0351CZE050,E,214319.537269,492708.609872,400,평택제천선,37.03319164999731,127.16094250486398
3452,0351CZE050,E,215244.300546,490965.2132020001,400,평택제천선,37.017467794548615,127.17130093873716
3453,0351CZE050,E,216013.79098000002,490369.56947399996,400,평택제천선,37.01208779792191,127.17993504744886
3454,0351CZE050,E,217581.53206700002,489328.65582,400,평택제천선,37.00268036215239,127.19752622558332
3455,0351CZE060,E,219187.46980500003,488155.488468,400,평택제천선,36.99207783160899,127.21553877804187
3456,0351CZE060,E,220868.618304,487297.52091,400,평택제천선,36.98431109517088,127.23439977838831
3457,0351CZE060,E,222487.498777,486026.592379,400,평택제천선,36.972821757431156,127.25254530875098
3458,0351CZE060,E,224536.094986,485603.233587,400,평택제천선,36.96895580648796,127.27553803580372
3459,0351CZE070,E,225670.16500100002,485942.797598,400,평택제천선,36.97198529759702,127.28828493069321
