,콘존ID,방향,grs80x,grs80y,노선번호,노선명
155,0010CZE180,E,327210.057805,383295.134032,0010,경부선
156,0010CZE180,E,326941.641220,384360.387977,0010,경부선
157,0010CZE180,E,326583.804648,385179.052355,0010,경부선
158,0010CZE180,E,326149.613334,386078.430904,0010,경부선
159,0010CZE180,E,325473.033878,386717.645707,0010,경부선
160,0010CZE180,E,324674.187201,386703.932397,0010,경부선
161,0010CZE180,E,324076.586110,386690.682535,0010,경부선
162,0010CZE190,E,322794.611260,386763.221320,0010,경부선
163,0010CZE190,E,322505.942039,387554.872848,0010,경부선
164,0010CZE190,E,322559.488849,388452.145944,0010,경부선
165,0010CZE190,E,322618.981108,389449.116320,0010,경부선
166,0010CZE190,E,322621.722653,390641.300579,0010,경부선
167,0010CZE200,E,322421.642380,391414.838514,0010,경부선
168,0010CZE200,E,322178.752199,392279.208195,0010,경부선
169,0010CZE200,E,321298.951075,392897.021395,0010,경부선
170,0010CZE200,E,320537.939739,393372.292186,0010,경부선
171,0010CZE200,E,319543.632176,393795.477932,0010,경부선
172,0010CZE200,E,318758.388795,393942.889653,0010,경부선
173,0010CZE200,E,317848.107838,394322.685927,0010,경부선
174,0010CZE200,E,316981.149730,394813.890111,0010,경부선
175,0010CZE200,E,316156.673817,395171.948304,0010,경부선
176,0010CZE200,E,315294.404737,395673.259600,0010,경부선
177,0010CZE200,E,314532.245652,396149.694562,0010,경부선
178,0010CZE210,E,309953.975458,396414.076646,0010,경부선
179,0010CZE210,E,308958.115893,396322.591916,0010,경부선
180,0010CZE210,E,308061.999692,396238.702050,0010,경부선
181,0010CZE210,E,307293.422037,395822.388618,0010,경부선
182,0010CZE210,E,306809.636059,394948.017026,0010,경부선
183,0010CZE210,E,306248.500934,394130.767138,0010,경부선
184,0010CZE215,E,305889.896637,393782.300069,0010,경부선
185,0010CZE215,E,305889.896637,393782.300069,0010,경부선
186,0010CZE215,E,305818.175597,393712.606755,0010,경부선
187,0010CZE215,E,304822.330838,393102.098622,0010,경부선
188,0010CZE215,E,304031.122874,393199.870148,0010,경부선
189,0010CZE215,E,302222.573278,392443.704857,0010,경부선
190,0010CZE215,E,301462.591151,392690.565367,0010,경부선
191,0010CZE215,E,300682.746437,393138.789698,0010,경부선
192,0010CZE215,E,299631.493991,393401.092563,0010,경부선
193,0010CZE215,E,298732.334263,393434.270802,0010,경부선
194,0010CZE220,E,297535.679200,393523.712749,0010,경부선
195,0010CZE220,E,296560.173767,393732.334379,0010,경부선
196,0010CZE220,E,295691.541438,393968.333645,0010,경부선
197,0010CZE220,E,294726.394103,394230.554011,0010,경부선
198,0010CZE220,E,293796.868131,394575.907123,0010,경부선
199,0010CZE220,E,293024.187189,395209.993802,0010,경부선
200,0010CZE220,E,292323.200891,395920.340734,0010,경부선
201,0010CZE220,E,291651.925921,396661.619536,0010,경부선
202,0010CZE220,E,291369.528347,397500.702598,0010,경부선
203,0010CZE220,E,291229.642993,398288.266850,0010,경부선
204,0010CZE220,E,290675.618057,399101.015839,0010,경부선
205,0010CZE220,E,290232.160066,399754.216501,0010,경부선
206,0010CZE230,E,290064.463922,400941.471327,0010,경부선
207,0010CZE230,E,289645.016895,401794.740472,0010,경부선
208,0010CZE230,E,288659.695289,401900.070299,0010,경부선
209,0010CZE230,E,287772.011425,402039.472869,0010,경부선
210,0010CZE230,E,286795.215038,401996.583199,0010,경부선
211,0010CZE230,E,286025.085098,401798.824821,0010,경부선
212,0010CZE230,E,284934.562269,401880.312958,0010,경부선
213,0010CZE230,E,283937.244658,402320.280570,0010,경부선
214,0010CZE230,E,283300.063886,402802.074932,0010,경부선
215,0010CZE230,E,282190.672468,403119.067860,0010,경부선
216,0010CZE240,E,281035.316307,402872.175521,0010,경부선
217,0010CZE240,E,280055.641050,402478.225335,0010,경부선
218,0010CZE240,E,279119.237436,402827.548222,0010,경부선
219,0010CZE240,E,278604.677010,403416.835136,0010,경부선
220,0010CZE240,E,278016.408195,404073.669438,0010,경부선
221,0010CZE240,E,277265.332615,404340.644296,0010,경부선
222,0010CZE240,E,276789.467063,405175.656409,0010,경부선
223,0010CZE240,E,276721.886202,406273.563264,0010,경부선
224,0010CZE240,E,276282.456175,407130.090793,0010,경부선
225,0010CZE240,E,275536.969727,407634.221271,0010,경부선
226,0010CZE250,E,274724.343838,408370.912456,0010,경부선
227,0010CZE250,E,273889.045669,408687.215240,0010,경부선
228,0010CZE250,E,272762.747911,409073.813012,0010,경부선
229,0010CZE250,E,271669.452268,409560.645541,0010,경부선
230,0010CZE250,E,270529.605287,409339.734895,0010,경부선
231,0010CZE250,E,269386.741802,408369.754028,0010,경부선
232,0010CZE250,E,268359.304338,408012.968340,0010,경부선
233,0010CZE250,E,267097.736396,408286.443669,0010,경부선
234,0010CZE250,E,266313.264093,408506.266548,0010,경부선
235,0010CZE250,E,265931.318959,408648.421579,0010,경부선
236,0010CZE250,E,265021.562674,408760.292488,0010,경부선
237,0010CZE250,E,264228.722881,408830.674420,0010,경부선
238,0010CZE250,E,263417.460187,408915.441271,0010,경부선
239,0010CZE250,E,262735.734013,409122.838352,0010,경부선
240,0010CZE250,E,261972.057542,409409.213417,0010,경부선
241,0010CZE250,E,260963.468341,409368.619209,0010,경부선
242,0010CZE260,E,259953.832156,409245.254445,0010,경부선
243,0010CZE260,E,258953.202728,409432.799657,0010,경부선
244,0010CZE260,E,257762.616098,409949.359388,0010,경부선
245,0010CZE260,E,257192.694543,410530.871738,0010,경부선
246,0010CZE260,E,256431.508573,410755.452373,0010,경부선
247,0010CZE260,E,254645.109625,410802.168708,0010,경부선
248,0010CZE260,E,252349.447276,412004.854595,0010,경부선
249,0010CZE260,E,251415.236753,412557.938713,0010,경부선
250,0010CZE270,E,249810.983218,413571.805809,0010,경부선
251,0010CZE270,E,249041.487482,414210.448121,0010,경부선
252,0010CZE270,E,248258.119718,414831.872429,0010,경부선
253,0010CZE270,E,247942.396198,415077.463814,0010,경부선
254,0010CZE270,E,246413.255897,416866.593975,0010,경부선
255,0010CZE270,E,246973.643892,416178.205947,0010,경부선
256,0010CZE270,E,245549.182531,417097.363967,0010,경부선
257,0010CZE270,E,244661.959616,417086.135254,0010,경부선
258,0010CZE270,E,243916.255785,416580.212044,0010,경부선
259,0010CZE280,E,242255.054721,416639.786663,0010,경부선
260,0010CZE280,E,241709.252500,417076.743040,0010,경부선
261,0010CZE280,E,241119.162211,417620.898887,0010,경부선
262,0010CZE280,E,240460.262331,418502.096739,0010,경부선
263,0010CZE290,E,239553.330844,419223.762704,0010,경부선
264,0010CZE290,E,238673.008800,419624.434393,0010,경부선
265,0010CZE290,E,238287.886894,420536.347185,0010,경부선
266,0010CZE300,E,237713.323543,423351.886325,0010,경부선
267,0010CZE300,E,237625.979746,423063.826157,0010,경부선
268,0010CZE290,E,238022.608943,421289.812135,0010,경부선
269,0010CZE290,E,237562.185009,422179.087589,0010,경부선
270,0010CZE300,E,237625.979746,423063.826157,0010,경부선
271,0010CZE300,E,237646.397452,426986.227026,0010,경부선
272,0010CZE300,E,237875.947699,424325.681414,0010,경부선
273,0010CZE300,E,237646.397452,426986.227026,0010,경부선
274,0010CZE300,E,237422.002977,425805.605230,0010,경부선
275,0010CZE300,E,237632.839579,426786.091207,0010,경부선
276,0010CZE310,E,237501.822042,427976.826259,0010,경부선
277,0010CZE310,E,237346.565181,428764.364733,0010,경부선
278,0010CZE310,E,237643.841351,429943.274557,0010,경부선
279,0010CZE310,E,238354.441786,430494.386248,0010,경부선
280,0010CZE310,E,238598.433835,431460.752419,0010,경부선
281,0010CZE310,E,238521.731632,432762.771400,0010,경부선
282,0010CZE310,E,238477.661932,433463.740395,0010,경부선
283,0010CZE310,E,238434.158825,434164.747793,0010,경부선
284,0010CZE310,E,238449.147214,435164.488308,0010,경부선
285,0010CZE310,E,238526.704224,437273.040992,0010,경부선
286,0010CZE310,E,238526.704224,437273.040992,0010,경부선
287,0010CZE310,E,238705.173607,436018.476229,0010,경부선
288,0010CZE310,E,238526.704224,437273.040992,0010,경부선
289,0010CZE320,E,238646.920124,438370.131551,0010,경부선
290,0010CZE330,E,238539.367623,440844.364481,0010,경부선
291,0010CZE330,E,238539.367623,440844.364481,0010,경부선
292,0010CZE320,E,238720.586798,439863.674268,0010,경부선
293,0010CZE330,E,238207.393805,442116.983239,0010,경부선
294,0010CZE330,E,238172.841397,443116.380608,0010,경부선
295,0010CZE340,E,237561.408161,444514.596235,0010,경부선
296,0010CZE340,E,236495.192844,445405.395583,0010,경부선
297,0010CZE350,E,234255.904605,447695.605725,0010,경부선
298,0010CZE350,E,234255.904605,447695.605725,0010,경부선
299,0010CZE340,E,235844.333740,445875.197073,0010,경부선
300,0010CZE340,E,234645.889141,446781.666710,0010,경부선
301,0010CZE350,E,234082.871491,448269.355689,0010,경부선
302,0010CZE350,E,233788.014342,449223.813897,0010,경부선
303,0010CZE350,E,233389.528092,450459.647537,0010,경부선
304,0010CZE355,E,233161.242243,451225.364530,0010,경부선
305,0010CZE355,E,233478.004021,452959.110443,0010,경부선
306,0010CZE355,E,232604.742841,454126.420532,0010,경부선
307,0010CZE355,E,231654.803085,455144.163174,0010,경부선
308,0010CZE355,E,231018.274197,456370.477439,0010,경부선
309,0010CZE355,E,230864.133874,457613.630982,0010,경부선
310,0010CZE357,E,229537.874451,458055.900320,0010,경부선
311,0010CZE357,E,227559.110084,458699.906995,0010,경부선
312,0010CZE357,E,226576.716232,459192.137105,0010,경부선
313,0010CZE357,E,225367.264763,459543.277266,0010,경부선
314,0010CZE357,E,223701.116563,459219.244684,0010,경부선
315,0010CZE357,E,222571.236298,459814.937427,0010,경부선
316,0010CZE350,E,219460.777155,462352.671903,0010,경부선
317,0010CZE350,E,219460.777155,462352.671903,0010,경부선
318,0010CZE357,E,220629.042927,460744.014135,0010,경부선
319,0010CZE357,E,219598.159414,461369.581112,0010,경부선
320,0010CZE357,E,219460.777155,462352.671903,0010,경부선
321,0010CZE360,E,216984.806149,463169.819127,0010,경부선
322,0010CZE360,E,217882.581220,463121.684698,0010,경부선
323,0010CZE360,E,216984.806149,463169.819127,0010,경부선
324,0010CZE370,E,215904.924047,463891.114512,0010,경부선
325,0010CZE360,E,216317.795020,463343.342759,0010,경부선
326,0010CZE370,E,215904.924047,463891.114512,0010,경부선
327,0010CZE370,E,215552.485152,465035.688382,0010,경부선
328,0010CZE370,E,215205.786683,465864.254076,0010,경부선
329,0010CZE370,E,214870.052414,466802.150421,0010,경부선
330,0010CZE380,E,215097.271851,469826.293351,0010,경부선
331,0010CZE380,E,215097.271851,469826.293351,0010,경부선
332,0010CZE370,E,214741.063362,467584.655165,0010,경부선
333,0010CZE370,E,214828.995352,468980.453641,0010,경부선
334,0010CZE380,E,215544.590168,470605.305478,0010,경부선
335,0010CZE380,E,215713.782315,471690.411534,0010,경부선
336,0010CZE380,E,216565.570809,473711.798743,0010,경부선
337,0010CZE380,E,216669.399830,474504.134746,0010,경부선
338,0010CZE380,E,216785.031790,475395.739086,0010,경부선
339,0010CZE385,E,216843.119172,479386.288903,0010,경부선
340,0010CZE385,E,216834.867225,480385.219742,0010,경부선
